,id,age_diff,format_compat,warehouse,style_compat,rating_diff,online,score
129,129,7,2,4.025160546647347,1,688.6629647710866,1,-9.843975037005988
98,98,4,2,4.025160546647347,2,917.1619104275807,0,-10.174140980689968
152,152,10,1,4.025160546647347,1,842.6327987302269,0,-10.261800720361286
191,191,6,1,4.025160546647347,1,928.1389826631017,0,-10.274662016831892
65,65,8,1,4.025160546647347,2,1067.3840723765616,0,-10.651188485079073
139,139,4,1,4.025160546647347,1,1041.5057944021673,0,-10.666929454335211
72,72,19,1,4.025160546647347,1,817.6170169657445,1,-11.11350983666076
185,185,3,2,4.025160546647347,1,1096.0612195486929,0,-11.649558095964483
31,31,8,2,4.025160546647347,1,1084.7892988790936,1,-12.1220156966156
188,188,6,2,4.025160546647347,2,1242.1627206213875,0,-12.177135488177656
12,12,0,2,12.57814981641335,2,7.81905814732022,0,-13.962694263290059
159,159,1,1,12.57814981641335,1,24.834963008503905,0,-13.98262461395762
116,116,4,2,12.57814981641335,2,85.61014760390219,0,-14.84209718776243
130,130,4,2,12.57814981641335,2,111.73008383434274,0,-14.984817786018535
20,20,8,0,12.57814981641335,1,217.92466177903714,1,-15.000776020644889
91,91,3,2,12.57814981641335,1,43.661753405133595,0,-15.110791742031335
54,54,6,2,12.57814981641335,2,101.75140961537477,0,-15.157468145759166
113,113,10,0,12.57814981641335,2,322.2750639750833,0,-15.220524101224221
157,157,5,0,12.57814981641335,2,445.268689987971,0,-15.324631439387383
11,11,2,2,12.57814981641335,2,226.4402210703812,0,-15.384425219182226
118,118,6,0,12.57814981641335,2,446.1889751897951,0,-15.44324708215533
212,212,0,2,12.57814981641335,2,279.6856663119994,0,-15.448186594542468
238,238,2,1,12.57814981641335,2,408.7613788102684,1,-15.548626676884904
71,71,1,2,12.57814981641335,1,189.32309485708254,0,-15.679518056017315
123,123,0,1,12.57814981641335,1,357.57438945343654,0,-15.687141816540493
55,55,2,2,12.57814981641335,2,332.24322213667176,0,-15.962537947951999
19,19,10,0,12.57814981641335,2,469.17971132293076,0,-16.023218218511253
168,168,2,1,12.57814981641335,2,496.8812381775648,0,-16.064005739016984
36,36,2,2,12.57814981641335,1,249.16014114895813,0,-16.12005773856468
214,214,9,2,12.57814981641335,1,112.76682248371503,0,-16.16990814951896
48,48,5,2,12.57814981641335,1,200.6051101811696,0,-16.195512174055196
131,131,1,2,12.57814981641335,2,404.1514873694672,0,-16.241861036597967
217,217,8,1,12.57814981641335,2,448.6700931598806,1,-16.44821278624876
243,243,8,0,12.57814981641335,2,620.8492129804393,0,-16.62477341122768
178,178,14,1,12.57814981641335,1,242.76498524082615,0,-16.650037901351393
150,150,3,2,12.57814981641335,2,439.2965075822136,0,-16.661069450998575
189,189,10,1,12.57814981641335,2,499.1006262439074,0,-16.984829861406975
183,183,5,2,12.57814981641335,2,486.6844671641376,0,-17.14717387983684
151,151,3,2,12.57814981641335,1,432.6312210861846,0,-17.23613977661428
29,29,1,0,12.57814981641335,1,776.3064357491459,1,-17.25669099391432
248,248,4,2,12.57814981641335,1,416.0143750004398,0,-17.25893168355929
135,135,20,1,12.57814981641335,2,360.3089603948955,1,-17.328449189273734
154,154,1,2,12.57814981641335,1,498.2951194301562,0,-17.367756181961838
44,44,14,1,12.57814981641335,2,494.245086461715,0,-17.412647595749288
205,205,1,2,12.57814981641335,1,511.3008204419883,0,-17.43881996300528
134,134,2,2,12.57814981641335,2,635.5859405813679,0,-17.62001727221643
96,96,0,2,12.57814981641335,2,685.3363893562608,0,-17.664681817391738
14,14,7,1,12.57814981641335,1,585.534453888377,1,-17.693948905010462
137,137,8,1,12.57814981641335,1,566.147818276272,0,-17.735494424815876
210,210,3,1,12.57814981641335,1,716.94310513129,0,-17.991511386069078
120,120,6,2,12.57814981641335,1,518.6347432391466,0,-18.04682867180798
109,109,1,0,12.57814981641335,1,915.4515965604168,0,-18.050874777621303
79,79,2,1,12.57814981641335,1,762.2575445370802,0,-18.125524520721918
22,22,2,2,12.57814981641335,1,622.3175847108488,0,-18.159008106552385
49,49,12,1,12.57814981641335,1,584.1004916855569,0,-18.28793734212654
53,53,11,1,12.57814981641335,2,724.8168518746303,1,-18.297853547060885
13,13,0,2,12.57814981641335,2,803.6134128071593,0,-18.31095320940191
108,108,17,2,12.57814981641335,2,460.8315310422571,0,-18.3689581006707
173,173,8,2,12.57814981641335,2,650.1427547357699,0,-18.381079369466782
175,175,7,1,12.57814981641335,1,709.3134303167316,0,-18.404171112062155
165,165,7,2,12.57814981641335,2,692.4577163667474,1,-18.464815334943513
227,227,10,2,12.57814981641335,1,550.3273377573265,0,-18.674347184378632
209,209,3,2,12.57814981641335,2,824.5646500500815,0,-18.766193265119977
99,99,12,2,12.57814981641335,2,637.5219805681703,0,-18.7664674865502
180,180,1,2,12.57814981641335,1,760.5272486626303,0,-18.800605253102162
153,153,11,1,12.57814981641335,1,748.8819189852699,1,-19.040836015059778
124,124,8,2,12.57814981641335,2,775.7222343565096,0,-19.067251736123445
121,121,15,2,12.57814981641335,2,631.8304588277948,0,-19.07613021513613
100,100,13,2,12.57814981641335,1,586.9334948916138,0,-19.215126481572458
92,92,5,2,12.57814981641335,1,755.4098915245953,0,-19.22699240471525
192,192,9,2,12.57814981641335,1,705.1271517546412,0,-19.406593715320767
9,9,16,2,12.57814981641335,1,567.1893936404359,0,-19.44800523422793
155,155,10,1,12.57814981641335,1,848.0117662065867,0,-19.502787024962686
179,179,9,2,12.57814981641335,1,734.2014412336761,0,-19.565457042999306
122,122,10,2,12.57814981641335,1,726.1883169424733,0,-19.635260103069378
4,4,3,1,12.57814981641335,1,1020.547727683088,0,-19.65042176707582
0,0,4,1,12.57814981641335,1,1017.3722006073548,0,-19.74665769293173
95,95,13,1,12.57814981641335,1,838.0368974112915,0,-19.789045337518523
142,142,16,2,12.57814981641335,2,751.987735092163,0,-19.846262559498154
34,34,9,1,12.57814981641335,1,934.6351422428037,0,-19.86251419265161
42,42,7,2,12.57814981641335,2,973.0210283430168,0,-20.031714754725414
138,138,12,2,12.57814981641335,1,764.6649175020142,1,-20.03878455689662
177,177,6,2,12.57814981641335,1,957.5295138755199,0,-20.444970982879127
242,242,13,2,12.57814981641335,1,831.497839736316,1,-20.517550044860194
184,184,8,2,12.57814981641335,1,1086.819938867524,0,-21.378594454599046
90,90,25,0,12.57814981641335,1,1051.9904539590702,1,-21.489133673877337
61,61,6,2,12.57814981641335,2,1277.6547189272123,0,-21.582660853570378
146,146,13,2,12.57814981641335,1,1087.5578239682013,0,-21.95056209355164
234,234,1,1,20.326539036793783,2,80.42764646724208,0,-22.019934631824167
40,40,6,0,20.326539036793783,1,19.863195688351993,0,-22.070310796178056
229,229,10,0,20.326539036793783,2,113.39669999740283,0,-22.42424126457196
237,237,26,2,12.57814981641335,1,1000.3213862575925,1,-22.91664316753773
215,215,4,1,20.326539036793783,2,293.2642836384265,0,-23.523645818281743
62,62,3,0,20.326539036793783,2,508.01475292989187,0,-23.78534332432836
5,5,6,2,20.326539036793783,2,169.29805204458614,0,-23.871584949415453
76,76,9,1,20.326539036793783,1,147.9845987996972,0,-23.90925614819085
225,225,8,0,20.326539036793783,2,444.4167872806071,0,-24.005776754799644
190,190,3,1,20.326539036793783,1,312.34583514994654,0,-24.12581095557447
219,219,3,2,20.326539036793783,1,231.99429757615383,1,-24.451000693193937
166,166,15,1,20.326539036793783,2,259.1984726780182,0,-24.58696733291671
203,203,1,2,21.09876477148056,1,142.85451489119498,0,-24.602339611985375
230,230,2,1,20.326539036793783,1,426.98546693279343,0,-24.638620303318454
117,117,0,0,20.326539036793783,1,620.4774746494105,0,-24.67057338458987
171,171,3,2,20.326539036793783,1,275.9578320674094,0,-24.725107454831075
193,193,8,1,20.326539036793783,2,442.5564277383161,1,-24.759846095632962
23,23,5,1,21.09876477148056,2,358.1548893782891,0,-24.823487851402486
197,197,1,1,21.09876477148056,1,342.5200527400615,0,-24.895199480877746
28,28,6,2,20.326539036793783,1,261.49985825201827,0,-24.98686986414779
110,110,2,2,20.326539036793783,2,457.07165820534,0,-24.98964524994949
15,15,3,0,20.326539036793783,1,643.6402656267124,0,-25.13789747716245
245,245,3,2,21.09876477148056,1,216.88910980620005,1,-25.200154671364896
75,75,11,0,20.326539036793783,1,501.80443885387183,0,-25.271596919676707
77,77,1,2,20.326539036793783,2,544.6516047954675,0,-25.354599165534115
81,81,10,1,20.326539036793783,1,391.9717097077445,0,-25.356000714205393
37,37,1,1,20.326539036793783,2,697.6423003487324,0,-25.392425432614917
233,233,11,1,20.326539036793783,1,391.78884599753667,0,-25.468588697820508
140,140,7,2,21.09876477148056,1,196.722917105487,0,-25.578202132820472
218,218,9,1,20.326539036793783,1,515.5274125454556,0,-25.9175279065803
221,221,9,2,20.326539036793783,1,404.6902645345141,0,-26.110030667517808
163,163,3,2,20.326539036793783,1,529.8881619677119,0,-26.112595091822534
58,58,9,1,21.09876477148056,1,427.6196526240552,0,-26.268885099936423
115,115,2,1,20.326539036793783,1,767.4883330361737,0,-26.499144476480787
88,88,7,1,20.326539036793783,1,678.7682231275829,0,-26.582309292414422
26,26,7,1,20.326539036793783,1,687.9383918700613,0,-26.632415539133
216,216,5,2,20.326539036793783,1,595.3358779813312,1,-26.663491028461998
104,104,13,1,21.09876477148056,1,438.2642505136854,0,-26.781396338200707
50,50,1,2,20.326539036793783,1,717.4000642176389,0,-26.909994899562303
241,241,9,1,21.09876477148056,2,670.6967180311761,1,-26.951692321986435
127,127,12,2,21.09876477148056,1,344.22776284727877,0,-26.952111562217354
162,162,7,0,21.09876477148056,1,759.6505291016025,0,-27.057821278595384
199,199,11,2,21.09876477148056,2,499.0225930453852,0,-27.07284108717414
235,235,0,2,21.09876477148056,1,625.3646738070328,0,-27.1252113599592
83,83,8,2,20.326539036793783,2,730.110968172164,1,-27.129180362339483
86,86,8,2,20.326539036793783,1,660.2429374798916,1,-27.358907828633697
213,213,3,2,21.09876477148056,2,721.5857640073676,0,-27.38023976820253
35,35,1,2,20.326539036793783,1,825.080748640895,0,-27.498367381253267
3,3,13,1,20.326539036793783,1,817.3166067845467,0,-28.020867338429603
57,57,6,0,21.09876477148056,1,959.2164084766015,0,-28.034671761702956
82,82,3,2,20.326539036793783,2,1020.4725012134933,1,-28.14779406105545
111,111,12,2,20.326539036793783,1,717.0476391851613,0,-28.15752798984675
56,56,11,1,20.326539036793783,1,898.839283325679,0,-28.239136876921947
67,67,5,2,21.09876477148056,1,735.8585097677852,0,-28.296890837054114
39,39,9,2,20.326539036793783,1,814.7327810565679,0,-28.35052286291088
132,132,9,2,21.09876477148056,1,669.3898099450149,1,-28.354163399834686
70,70,3,2,20.326539036793783,1,941.3865224078378,0,-28.361042088985478
105,105,3,1,21.09876477148056,1,959.5891460421705,1,-28.4601813740411
1,1,8,0,20.326539036793783,1,1171.8471677374796,0,-28.591981404802876
51,51,4,1,21.09876477148056,1,983.2301348563145,0,-28.73683192034717
236,236,6,1,20.326539036793783,1,1154.8830535304605,1,-29.036348778096254
156,156,8,2,21.09876477148056,1,871.1499062679944,0,-29.37689106790922
85,85,9,1,20.326539036793783,1,1281.5125228935117,0,-30.10290769616565
114,114,13,2,21.09876477148056,1,957.2683049048941,0,-30.415381973373545
102,102,1,0,27.89625186918499,1,384.05040839312494,1,-31.611027373960848
41,41,1,2,27.89625186918499,2,252.25148683768805,1,-31.87562652618498
141,141,14,1,27.89625186918499,2,127.94638388379906,0,-31.90881605719048
133,133,4,0,27.89625186918499,1,488.1129151662582,0,-32.55427931404832
2,2,1,1,27.89625186918499,1,441.3423820378408,0,-32.75608368624365
45,45,10,1,27.89625186918499,2,390.1919803628808,0,-32.88739007483651
112,112,1,2,27.89625186918499,1,338.35534304989744,0,-32.99147982357586
32,32,0,1,27.89625186918499,2,656.0698158967863,0,-33.20428786405018
145,145,2,1,27.89625186918499,2,668.1477914099904,0,-33.49745682757026
78,78,8,2,27.89625186918499,1,320.1932676342011,0,-33.687351481300006
30,30,4,2,27.89625186918499,2,515.8648487404447,0,-33.69067207616018
247,247,3,2,27.89625186918499,1,482.7711061971237,0,-34.00774887648305
143,143,10,1,27.89625186918499,1,513.458944626765,0,-34.17241651970207
97,97,12,1,27.89625186918499,2,591.4729528643651,0,-34.214373389348225
33,33,3,1,27.89625186918499,1,679.3366031828463,0,-34.28366997176193
103,103,5,2,27.89625186918499,1,554.1010194186237,1,-34.59078542392503
84,84,9,2,27.89625186918499,2,592.0008996377536,0,-34.674618949478884
93,93,5,0,27.89625186918499,1,876.1738023811,0,-34.78824998069777
94,94,4,1,27.89625186918499,2,885.9316111468296,0,-34.914612499685745
125,125,4,0,27.89625186918499,1,972.9352895064145,0,-35.20337227902781
18,18,5,2,27.89625186918499,2,807.1185413050345,1,-35.36179565939695
187,187,3,2,27.89625186918499,1,785.8027486928671,1,-35.62964058952261
47,47,8,2,27.89625186918499,2,839.6324029013823,0,-35.91410233246864
167,167,5,2,27.89625186918499,1,823.720047177456,0,-36.09788474399699
148,148,8,2,27.89625186918499,1,762.5397798527566,0,-36.10435427576928
25,25,4,2,27.89625186918499,1,849.885379870177,0,-36.1272662309288
170,170,14,2,27.89625186918499,2,754.5011914217729,0,-36.13046422325849
46,46,11,2,27.89625186918499,1,818.4033781286429,0,-36.75035716525533
107,107,17,2,27.89625186918499,2,840.0243165266246,1,-36.90464032853024
